질문,예상답변
"정규화와 반정규화의 차이를 설명해주세요.","정규화는 데이터 중복을 줄이고 무결성을 높이기 위해 테이블을 구조화하는 과정입니다. 반정규화는 조회 성능이나 편의성을 위해 의도적으로 중복을 허용하는 설계입니다. 일반적으로 기본 설계는 정규화를 따르고, 성능 병목이 명확할 때 반정규화를 검토합니다."
"스택과 큐의 차이를 설명해주세요.","스택은 LIFO, 즉 마지막에 들어간 데이터가 먼저 나오는 구조입니다. 큐는 FIFO, 즉 먼저 들어간 데이터가 먼저 나오는 구조입니다. 스택은 함수 호출, 뒤로가기, DFS에 자주 쓰이고 큐는 작업 대기열, BFS, 메시지 처리에 자주 사용됩니다."
"배열과 연결 리스트의 차이를 설명해주세요.","배열은 연속된 메모리에 데이터를 저장해 인덱스 접근이 빠릅니다. 연결 리스트는 각 노드가 다음 노드를 가리키는 구조라 삽입과 삭제가 유리하지만, 특정 위치 접근은 순차 탐색이 필요합니다. 따라서 랜덤 접근이 많으면 배열, 중간 삽입과 삭제가 많으면 연결 리스트가 적합할 수 있습니다."
"해시 테이블의 동작 원리를 설명해주세요.","해시 테이블은 키를 해시 함수에 넣어 배열의 인덱스로 변환하고, 그 위치에 값을 저장하는 자료구조입니다. 평균적으로 조회, 삽입, 삭제가 O(1)에 가깝습니다. 다만 서로 다른 키가 같은 인덱스로 가는 충돌이 발생할 수 있어 체이닝이나 오픈 어드레싱 같은 방식으로 해결합니다."
"시간 복잡도와 공간 복잡도의 차이를 설명해주세요.","시간 복잡도는 입력 크기가 커질 때 알고리즘 실행 시간이 얼마나 증가하는지를 나타냅니다. 공간 복잡도는 알고리즘이 사용하는 메모리 양이 얼마나 증가하는지를 나타냅니다. 좋은 알고리즘을 선택할 때는 실행 시간뿐 아니라 메모리 사용량도 함께 고려해야 합니다."
"브라우저 렌더링 과정을 설명해주세요.","브라우저는 HTML을 파싱해 DOM을 만들고 CSS를 파싱해 CSSOM을 만든 뒤 렌더 트리를 구성합니다. 이후 레이아웃 단계에서 요소의 위치와 크기를 계산하고, 페인트와 합성 단계를 거쳐 화면에 표시합니다. JavaScript가 DOM이나 스타일을 변경하면 이 과정 일부가 다시 발생할 수 있습니다."
"이벤트 루프가 무엇인지 설명해주세요.","이벤트 루프는 JavaScript의 비동기 작업을 처리하는 실행 모델입니다. 콜 스택이 비면 태스크 큐나 마이크로태스크 큐에 있는 콜백을 가져와 실행합니다. Promise 콜백 같은 마이크로태스크는 일반 태스크보다 우선 처리되어 비동기 코드의 실행 순서에 영향을 줍니다."
"캐시를 사용하는 이유와 주의점은 무엇인가요?","캐시는 자주 사용하는 데이터를 가까운 위치에 저장해 응답 속도를 높이고 서버 부하를 줄이기 위해 사용합니다. 하지만 오래된 데이터가 반환되는 stale data 문제가 생길 수 있습니다. 따라서 만료 시간, 무효화 전략, 일관성 요구사항을 고려해야 합니다."
"로드 밸런싱이 무엇인지 설명해주세요.","로드 밸런싱은 여러 서버에 트래픽을 분산해 성능과 가용성을 높이는 방식입니다. 특정 서버에 부하가 집중되는 것을 막고 장애가 난 서버를 제외해 안정성을 높일 수 있습니다. 라운드 로빈, 최소 연결, IP 해시 같은 분산 방식이 있습니다."
"CORS가 무엇이고 왜 발생하나요?","CORS는 브라우저가 보안을 위해 다른 출처의 리소스 요청을 제한하는 정책입니다. 프론트엔드와 API 서버의 도메인, 프로토콜, 포트가 다르면 교차 출처 요청으로 판단될 수 있습니다. 서버가 Access-Control-Allow-Origin 같은 헤더로 허용해야 브라우저가 응답을 사용할 수 있습니다."
